Path	Description	Genes
1q21.1 copy number variation syndrome	1q21.1 copy number variation (deletion or duplication) syndromes are known for a highly variable phenotype especially concerning psychiatric problems. The genes on the red DNA strand represents the deleted, or duplicated, region. The downstream effects and interaction partners of the different genes are shown according to available knowledge. The breakpoints (chr1:146,527,987-147,394,444, GRCh37/hg19) are defined as given in  Kendall et al. 2017: http://dx.doi.org/10.1016/j.biopsych.2016.08.014.	PDIA3P1,KIRREL1,PYGO2,TJP2,TJP1,ACP6,OCLN,OR13Z3P,FMO5,AFDN,PRKAG1,TJP3,OR13Z1P,GJA8,CCT8P1,F11R,RPL7AP15,PRKAA1,PRKAG2,CTNNB1,PYGO1,PRKAB1,OR13Z2P,PFN1P8,GJA5,PRKAG3,GJA1,RN7SL261P,GJA3,AMELX,RNU1-151P,NBPF12,PRKAB2,NBPF13P,BCL9,CHD1L,PRKAA2
Hypoxia-mediated EMT and Stemness	Model of hypoxia mediated EMT and stemness.	DICER1,ZEB1
Conversion of Angiotensinogen to Angiotensin II 	This pathway depicts the conversion of Angiotensinogen to Angiotensin II by enzymes of the Renin-Angiotensin-System (RAS) and Nonrenin-Angiotensin-System (NRAS).The NRAS pathway includes both direct and indirect conversion. 	ACE
Vitamins A and D - action mechanisms	The active forms of vitamins A and D both activate nuclear receptors. The generation of the vitamin metabolites and their role in the activation of the nuclear receptors is shown in the pathway. 	RAR,VDR,RXR
Benzo(a)pyrene metabolism	Benzene metabolism primarily takes place in the liver, to a variety of products that are transported to the bone marrow where additional metabolism occurs. Several metabolites of benzene are responsible for the toxic effects of benzene including reactive metabolites that covalently bind macromolecules and induce oxidative damage.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP696 CPTAC Assay Portal]	AKR1C3,AKR1C4,AKR1A1,Cytochrome P450 peroxidase,CYP1B1,SULT,Glucuronosyltransferase,CYP1A1,AKR1C1,AKR1C2,CYP3A4,EPHX1
Target Of Rapamycin (TOR) Signaling	TOR signaling is responsible for a cellular reaction towards nutrient and energy availability and hypoxia/stress. The mammalian Target Of Rapamycin (mTOR), a serine/threonine kinase, is the central regulator that consists in two different complexes: a rapamycin-sensitive complex (mTORC1) consisting of mTOR, Raptor and GbetaL that regulates mRNA translation, ribosome biogenesis and autophagy and a second rapamycin-insensitive complex (mTORC2) consisting of mTOR, Rictor GbetaL, Sin1 and Protor 1/2 that regulates survival and a cytoskeletal responseTOR signaling is highly integrated in other signaling pathways that respond to external conditions, such as the insulin-signaling cascade and AMPK signaling.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1471 CPTAC Assay Portal]	ULK2,MLST8,FKBP1A,PRKAG1,TSC1,RPS6KB1,PRR5,SREPB2,AKT1,HMGCR,PRR5L,RPTOR,PRKAA1,PRKAG2,RAC1,RHEB,DDIT4,EIF4EBP1,RRAGA,RRAGC,PRKAB1,MTOR,ULK3,MAPKAP1,DDIT4L,CDC42,PRKAG3,IDI1,TSC2,ULK1,RICTOR,PRKAB2,RRAGD,RRAGB,PRKCA,AKT1S1,PRKAA2
Endochondral Ossification with Skeletal Dysplasias	Taken from existing [[Pathway:WP474|Endochondral Ossification pathway]].Added diseases linked with a dotted arrow to GeneProduct nodes, dotted arrow indicates what diseases are caused by mutation in the respective genes	MMP13,TGFB1,CDKN1C,Aggrecan,FGFR3,DDR2,HDAC4,FGF18,GH receptor,COL2A1,STAT1,CALM1,PTHR1,AKT,BMPR1A,TGFBI,HMGCS1,CAB39,IHH,PTH,FrzB-1,SOX5,Sox9,SERPINH1,PTHrP,IGF1,Adseverin,TGFB2,Bapx1,MMP9,SLC38A2,STAT5,RUNX3,Carminerin,RUNX2,PKA,ADAMTS4,IGF2,BMP7,TG737,BMP6,IGF1R,FGFR1,NPP1,TIMP3,PTCH,TNAP,THRA,AKP2,COL10A1,ADAMTS5,FGF2,KIF3A,Osteopontin,PTCH1,MEF2C,GLI3,SOX6,C4ST1,Growth hormone,PLAU,ADAMTS1,VEGFA,Cathepsin L2,PLAT,MGP
TP53 Network	P53 is not a lonely genome guardian, it operates with the assistance of p73 and p63 within a complex network including distinct but complementary pathways. This protein family presents a      high level of sequence homology in its DNA binding domain. The complexity of the family has been enriched by the alternatively spliced forms of the genes. At present pathway, the alternatively spliced forms of p63 and p73 and how they interact with p53 are shown . However, little is known about the transcriptional regulation of p53 family members. Further studies will tell us whether the three genes of the family also share others regulatory activities.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1742 CPTAC Assay Portal]	MDM2,MYC,GADD45A,ABL1,BOK,ATM,BCL2,PMAIP1,TNFSF10,CDKN1A,OTX2,BAX,BBC3,TP53,IGFBP-3,TP73,TP63,CDKN2A,BID
Serine Metabolism	This pathway shows disorders related to serine metabolism. Disorders resulting from an enzyme defect are highlighted in pink. This pathway was inspired by Chapter 5 (ed. 4) from the book of Blau (ISBN 3642403360 (978-3642403361)), Fig. 5.2.	
Disorders of the Krebs cycle	This pathway shows an simplified version of the Krebs cycle (for more details see [https://www.wikipathways.org/index.php/Pathway:WP78] ), with 4 genetic diseases related to itFor succinyl-CoA synthetase deficiencies, relevant metabolic markers are depicted in light greenPatients with a mutation in the SUCLG1 might present a severe (fatal) form of mitochondrial encephalomyopathy.This pathway was inspired by Chapter 20 of the book of Blau (ISBN 3642403360 (978-3642403361)).	FH
p38 MAPK Signaling Pathway	p38 MAPKs are members of the MAPK family that are activated by a variety of environmental stresses and inflammatory cytokines. Stress signals are delivered to this cascade by members of small GTPases of the Rho family (Rac, Rho, Cdc42). As with other MAPK cascades, the membrane-proximal component is a MAPKKK, typically a MEKK or a mixed lineage kinase (MLK). The MAPKKK phosphorylates and activated MKK3/5, the p38 MAPK kinase. MKK3/6 can also be activated directly by ASK1, which is stimulated by apoptotic stimuli. P38 MAK is involved in regulation of Hsp27 and MAPKAP-2 and several transcription factors including ATF2, STAT1, THE Max/Myc complex, MEF-2, ELK-1 and indirectly CREB via activation of MSK1.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP400 CPTAC Assay Portal].	CREB1,MAPKAPK2,HSPB1,TRAF2,RASGRF1,HRAS,MAPK14,HMGN1,TRADD,STAT1,MKNK1,MEF2D,RAC1,MAP3K1,MAX,RPS6KA5,PLA2G4A,MAP2K4,CDC42,MAPKAPK5,RIPK1,MAP3K7,TGFB2,DDIT3,MYC,ELK1,MAP2K6,MAP3K9,GRB2,SHC1,TGFBR1,DAXX,ATF2,MAP3K5
Metastatic brain tumor	Interaction between microRNAs (miRNAs) and abnormal methylation to control metastasisTumor growth and metastasis formation through down regulation of their oncogenic targets such as MYC, E2F3 and cyclin-dependent kinase(CDK6).Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2249 CPTAC Assay Portal]	MIRLET7A3,CDC42,E2H2,CDK6,MIRLET7G,MIRLET7E,TP53,E2F3,MIR29A,MIRLET7D,MIR29C,TTP,MYC,MIRLET7C,MIRLET7A1,MIRLET7F1
Canonical  and Non-canonical Notch signaling	This pathway is based on figure 1 of "Alteration of Notch signaling in skeletal development and disease" (see bibliography). In the NOTCH signaling pathway, mammals have 11 ligands (JAG, DLL, DLK, etc.) and 4 NOTCH receptors (NOTCH1,2,3,4). The pathway is activated by the interaction between a ligand in a ligand expressing cell and a NOTCH receptor in an adjacent, receptor expressing cell.  At this point, proteases (ADAM10 and PSEN1/2) cleave the intracellular domain (NICD) of the NOTCH protein from the extracellular domain (NECD). In the canonical pathway, NICD travels into the nucleus where it forms a transcription complex with other proteins (RBPJ and MAML1,2,3). This transcriptional complex regulates the transcription of downstream canonical target genes, such as HES1 and HEY1. In the non-canonical pathway, otherwise known as RBPJ-independent NOTCH signaling, NOTCH can activate through R-Ras to promote cell adhesion. Alternatively, NOTCH may interact with IKKa in the NF-kB pathway, or LEF1 in the Wnt pathway.While the role that the canonical NOTCH pathway plays in skeletal biology is well understood, our understanding of the role of the non-canonical pathway remains primitive.	HES1,DLK1,NOTCH2,JAG2,MAML1,DNER,MAGP1,MAML3,NOTCH1,DLK2,NOTCH3,DLL1,RRAS,NICD,IKKa,RBPJ,PSEN1,PSEN2,HEY1,NOTCH4,DLL3,DLL4,MAGP2&#xA;,MAML2,LEF1,JAG1,NB3,ADAM10
Cells and Molecules involved in local acute inflammatory response 	Cells and Molecules involved in local acute inflammatory responsePathway based on Biocarta pathway (M3952)https://cgap.nci.nih.gov/Pathways/BioCarta/h_LairPathwayTissue damage induces the release of inflammatory signaling molecules. Additionally, bacterial infection stimulates an immune response. Bacterial infection can activate macrophages and induce the release of pro-inflammatory cytokines such as TNF, IL-6 and IL-1. Both tissue damage and bacterial infection can induce complement activation, either via the alternative or classical pathway. Leukocytes can be attracted via pro-inflammatory cytokines and chemokines released by mast cells and activated macrophages. Leukocytes can also induce complement activation.  The combined response can result in a more permeable endothelium of blood vessels, induce swelling and activate immune cells.  	ITGA4,IL6,ICAM1,C7,IL8,C5,C3,SELPLG,SELP,IL1A,ITGB1,ITGAL,ITGB2,VCAM1,TNF,C6,KNG1
BDNF-TrkB Signaling	Brain-derived neurotrophic factor (BDNF) is an important neurotrophin for the regulation of synaptic activity. BDNF-TrkB signaling, TrkB being the receptor of BDNF, is involved in transcription, translation, and trafficking of proteins in the various stages of synaptic development and evidence indicates that it also plays a significant role in synaptic plasticity, the ability of synapses to strengthen or weaken over time. Synaptic plasticity has been associated with learning and memory development. These functions are carried out through three pathways: mitogen-activated protein kinase (MAPK), phospholipase CG (PLC/PLCG), and phosphatidylinositol 3-kinase (PI3K). Pi3K and MAPK have crucial roles in the protein translation and transport caused by synaptic activity. PLCG regulates intracellular levels of Ca2+, which drives gene transcription through cyclic AMP. Evidence strongly indicates that abnormal levels of BDNF leads to significant developmental and neurodegenerative diseases by disrupting neural development and function. An understanding of how the BDNF-TrkB pathway regulates synaptic activity and plasticity is essential to an understanding of how we can effectively treat genetic disruptions of this pathway that lead to terrible neurodevelopmental diseases.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3676 CPTAC Assay Portal]	MEK,PSD95,NMDAR,RHEB,TrkB,PKC,AKT,Adenyl Cyclase&#10;,Mnk1,TRPC6,TSC1,CamMKIII,TRPC3,HRAS,MAPK/Erk,GAB1,HOMER,GRB2,4E-BP1,PI3K&#10;,NRAS,BDNF,TSC2,ARC,BRAF,PLCG,p70S6,KRAS,GAB2,Rsk,CREB,MTOR,SHC,SOS
Alpha 6 Beta 4 signaling pathway	The integrin alpha6beta4 was discovered in the late 1980s by two different groups and was called either alphaEbeta4 or Ic-Ic binding protein (Ic-IcBP) (1,2). The alpha6beta4 integrin is a component of Hemidesmosomes (HDs) (3, 4,5). Increased expression of alphaEbeta4 and changes in its distribution is found to be correlated with increased aggressiveness of tumors and poor prognosis (6, 7). Although integrin alpha6beta4, can interact with different laminin isoforms, its preferred ligand in the epidermal BM is laminin-5 (8, 9). The beta4 integrin is a large protein and has a cytoplasmic domain of more than 1000 amino acids (10, 11). This domain contains a Na-Ca exchanger (CalX) motif followed by two pairs of type III fibronectin (FNIII) domains separated by a connecting segment (CS). It is found to associate with the intermediate filament system through plectin and BP230, which are components of hemidesmosomes (12,13,14). Interaction of intgrin beta4 with components of hemidesmosomes including plectin, BP230 and BP180 is found to be important in signaling events associated with cell growth, survival, and migration under physiological and pathological conditions.Studies have shown that beta4 can regulate keratinocyte migration both positively and negatively (15,16,17,18). It is also found to regulate cell survival in keratinocytes in cell culture systems under stress in a PI3K/Akt pathway dependent manner (19,18). However, alpha6beta4 was not found to have any effect on keratinocyte survival in vivo (20, 18, 16). Apart from its effects on keratinocytes, evidence suggests that integrin alpha6beta4 is important in cancer cell invasion (21,22,23,24) and survival (25,26,27,28,16,29). The cancer cell invasion is regulated through a IRS/PI3K dependent process while the effect on carcinoma cell survival in a PI3K/Akt and dependent manner. Activation of the transcription factors NFkappaB and NF-IL6 in a p38Mapk dependent pathway and subsequent activation of IL6 gene expression was shown to be mechanism of alpha6beta4 induced survival of thymocytes and proliferation of thymic epithelial cells (27,30). Integrin alpha6beta4 is also known activate the Ras/Raf/MEK/ERK cascade which is found to be involved in the regulation of cell cycle (31,32,33,34)NetPath (http://www.netpath.org) is a collaborative project between PandeyLab at Johns Hopkins University (http://pandeylab.igm.jhmi.edu) and the Institute of Bioinformatics (http://www.ibioinformatics.org).  If you use this pathway, please cite the NetPath website until the pathway is published.	
Parkin-Ubiquitin Proteasomal System pathway	This pathway describes the Parkin-Ubiquitin proteasome degradation systemProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2359 CPTAC Assay Portal]	Cullin 1,Parkin,TUBAL3,PSMC2,PSMC4,TUBA3D,UBCH7,TUBB2C,PSMD11,Septin 5,PSMD14,SIAH1,TUBB2A,HSPA14,CASK,HSPA5,PSMD9,TUBB2B,PSMD6,PSMC1,TUBA3C,UBE2J2,PSMD8,HSPA1A,Caspase-1,TUBB,PSMD1,PSMC5,PSMD13,TUBA4B,UBCH8,FBXW7,CHIP,Synphilin 1,TUBA1A,HSPA9,PSMC3,HSPA7,UBE2G1,PAELR,TUBB3,PSMD3,PSMD7,TUBA3E,PSMD5,Caspase-8,Cyclin E,PSMD10,TUBA8,TUBB4,HSPA2,TUBB4Q,TUBB1,HSPA6,PSMD4,UBE2J1,TUBB8,TUBA1B,UBE2G2,HSPA4,PSMC6,HSPA8,UBE1,TUBA4A,TUBA1C,PSMD12,SIAH2,PSMD2,TUBB6,Alpha-synuclein,HSPA1L,HSPA1B,DORFIN
Fatty Acid Omega Oxidation	Dodecanoate, or lauric acid, is found in the fats and oils of both plants and animals, especially coconut and palm kernel oil. This pathway shows the degradation of dodecanoate leading to beta oxidationCreated by Magali Jaillard, Marijke Vermeer, Michiel Adrieans, Ron Schormans and Chris Evelo.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP206 CPTAC Assay Portal]	ADH7,CYP4A11,CYP2A6,ADH1C,ADH1A,CYP2E1,ADH1B,ALDH2,CYP1A2,CYP2D6,ADH4,CYP1A1,ALDH1A1,ADH6,CYP3A4
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling	This pathway is courtesy of Ariadne Genomics Pathway Studio.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP732 CPTAC Assay Portal]	ITPR1,MAPK3,RASGRP1,HTR2B,RASGRF1,SRF,MAP2K2,HRAS,MAPK1,KRAS,HTR2A,RAF1,MAPKAPK2,GATA4,NRAS,GNAQ,HTR2C,ELK1,ELK4,MAP2K1
Ethanol effects on histone modifications	Ethanol effects on histone modifications which contribute to the development of fetal alcohol syndromePathway based on Chater-Diehl et al. 2017 (https://doi.org/10.1016/j.alcohol.2017.01.005).Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3996 CPTAC Assay Portal]	HDAC1,ACSS2,DHFR,HDAC5,HDAC10,HDAC2,MAT III,KAT2B,HDAC4,HDAC3,HDAC7,SLC19A1,MTR,ALDH1A3,ALDH2,MTHFR,ALDH1A1,ELP3,ATF2,HAT1,EHMT2,HDAC9,ADH1A,MAT1A,AHCY,ADH1B,ALDH1A2,HDAC8,TYMS,ADH1C,CYP2E1,HDAC6
Gastrin Signaling Pathway	Gastrin is a peptide hormone which is involved in the process of gastric acid secretion. Gastrin release is induced by the gastrin-releasing peptide, a neurotransmitter acting on its basolateral receptor in G-cells. Gastrin is then translocated to the oxyntic mucosa in an endocrine manner where it binds to its receptor CCKBR in parietal and enterochromaffin-like (ECL) cells. This interaction stimulates secretion of gastric acid by parietal cells and release of histamine by ECL cells. Histamine reaches parietal cells through paracrine diffusion where it binds H2 receptors and induces gastric acid secretion. Gastrin has been reported to stimulate proliferation of gastric mucosal cells,maturation of parietal cells and enterochromaffin-like (ECL) cells, and promote islet differentiation in the pancreas. Gastrin is also known to stimulate the proliferation, invasion, and migration of cancer cells. Produced as preprogastrin of 101 amino acids by the human G-cells of the antrum of stomach, it is sequentially cleaved to first yield progastrin and then 35-amino acid gastrin-34-Gly or an 18-amino acid gastrin-17-Gly that are often amidated.CCKAR and CCKBR cholecystokinin receptors belonging to the family of G-protein coupled receptors, are the best characterized receptors of Gastrin. CCKBR has high affinity for gastrin and their carboxyl amidated analogues, while the CCKAR has been reported to have negligible affinity. Gq-alpha had been the major identified G-alpha subunit involved in gastrin signaling. Gastrin induces the activation of Gq-alpha and regulates the levels of IP3 and DAG through PLC-gamma1 mediated hydrolysis of PIP2. SRC has also been shown to be involved in this regulation. SRC kinase is also involved in the activation of classical RAS/MEK/ERK and PI3K/AKT pathways through IRS1-mediated recruitment of GRB2/SHC1/SOS complex and regulatory subunits of PI3Ks, respectively. PI3K pathway activation by SRC also involves the formation of SRC-FAK complexes. Gastrin induced MEK/ERK pathway is also reported to be mediated through PKCs. Gastrins have also been reported to regulate the activation of Rho, Rac and Cdc42 pathways. Recently, Liu and Jose 2013 have reported the regulation of MTOR and sodium-hydrogen exchanger 3 activities through a PI3K/PKC-dependent but AKT-independent pathway. Both p38MAPK and JNKs are also reported to be involved in gastrin signaling. PKAs as well as PKCs are involved in the regulation of p38MAPK activation whereas JNK activation has been shown to be mediated by MAP3K11 (MLK3). Gastrin induces the activation of eNOS and thereby nitric oxide production in ERK1/2, AKT, and p38MAPK dependent manner. Another major pathway involved in gastrin induced cell proliferation and migration is the beta-catenin/TCF-4 pathway. JAK-STAT pathway has also been shown to be involved in gastrin signaling. Interestingly, JAK2 activation has been identified to be also involved in activation of PI3K pathway.Apart from CCKAR and CCKBR, recently gastrin has also been shown to bind to Annexin A2 to mediate their effects. Thus far, gastrin induced activation of NFKBs, ERKs and p38MAPK have been reported to be mediated by both CCK receptor(s) as well as Annexin A2 in multiple cells/cell typesVisit: http://www.netpath.org/netslim/Gastrin_pathway.html	CLDN1,FOS,MEF2C,SLC9A3,PRKCA,ITGB1,CD44,TCF4,ROCK1,RPS6,PRKACA,PTGS2,PRKD2,KRAS,BIRC3,PIK3R1,GSK3B,VEGFA,PIK3CA,CDC42,PTPN11,CDKN1B,EIF4EBP1,NFKB1,PRKCH,JAG1,PLCG1,RELA,PIK3R2,SP1,CTNNB1,BMP2,RHOB,MAP2K1,LAMTOR3,KIT,RHOA,PAK1,ANXA2,ARHGEF28,CCKBR,AKT1,IL8,BIRC5,RAF1,FOXO1,CREB1,YES1,SOS1,MAPK1,MMP7,PIK3R3,CDKN2A,TJP1,HRAS,PRKCE,IRS1,IKBKB,MAPK3,ARRB2,CCND1,GRB2,MAPK9,ELK1,KLF4,MYC,PPARG,GAST,FYN,JAK2,ATF2,BCAR1,SHC1,CDH1,CHUK,RHOD,CASP3,SERPINB2,FOXO3,EGR1,BIRC2,MAP3K11,NOS3,STAT3,PRKD1,EGFR,PXN,TFF2,NFKBIA,ARRB1,MAPK8,JUN,PRKCD,MEF2D,RAC1,SLC9A1,SERPINE1,GNAQ,IL2,SRC,CDKN1A,RPS6KB1,MEF2B,PTK2,BCL2L1,CRK,HDAC7,MAPK14,BAD,HDC,PRKCQ,CHGA,KAT5
Resistin as a regulator of inflammation	Resistin induced intracellular signaling pathways. No receptor for resistin has yet been identified. Resistin induces NF-kB activity. Resistin increases the cytosolic Ca concentration via both PLC activation, leading to the release of Ca from intracellular pools, such as the endoplasmic reticulum, and Ca influx from the extracellular environment. Activation of the abovementioned signaling pathways via resistin suggests that it has proinflammatory potential. 	IL6,ITP3R,AKT1,IL8,PI3KG,RETN,RELA,IkKA,ERK2,PI3KD,PLCD4,TNF,IkBA,PLCB3,PLCB2,AKT3,PI3KB,PLCB4,ERK1,PLCE1,NFkB,PLCD3,PLCG1,AKT2,IL12B,IkKB,PI3KA,IkKG,p38,PLCD1,PLCB1,IL12A,PLCG2
Nicotine Metabolism	Nicotine results in many metabolites after metabolization in the liver.Nicotine is the main factor behind smoking addiction, therefore nicotine supplements can be used to stop smoking. Nicotine is metabolized by several enzymes in the liver such as the CYP2A6 enzymeCYP2A6 is a xenobiotic (xenos = foreigner, bios = life) metabolizer. How well nicotine can be metabolized by the human body is not standard and depends on racial, gender, genetic and environmental factors. The cotinine metabolite seen above in the center of the nicotine metabolism pathway is a smoking biomarker and can been measured in various tissues such as blood, urine and sweat.	UGT1A9,CYP2B6,UGT1A4,FMO3,AOX1,CYP2A6
15q13.3 copy number variation syndrome	This pathway shows the genes deleted or duplicated in 15q13.3 copy number variation syndrome. The affected region is between 30,500,000-32,500,000 bp on Chromosome 15. The major genes in this region are OTUD7A and CHRNA7 which are known influencers of neuronal development and function. For several genes in this regio there are no exact functions known yet - e.g. the GOLGA gene group or the MTMR10 which is similar to phosphatidyl-inositol 3 phosphatases but without an active catalytic centre. The breakpoints 30,500,000-32,500,000 are from "15q13.3 Microdeletion", Bregje WM van Bon et al. in Gene reviews PMID: 20301295	DNM1P50,UBE2CP4,FYN,RN7SL82P,SERPINH1,ADP/ATP translocases,GOLGA8UP,GOLGA8H,GOLGA8Q,HERC2P10,MTMR10,RN7SL796P,ULK4P2,GPR75,OTUD7A,RNU6-17P,RNU6-466P,KAT2B,FAN1,CCL5,GRM6,CHRFAM7A,FANCD2,TRPM1,RN7SL628P,CREBBP,LINC02352,KLF13,RNU6-18P,ARHGAP11B,CHRNA7,GOLGA8R,RN7SL196P
Dual hijack model of Vif in HIV infection	By hijacking CBF-b, Vif (Viral infectivity factor, HIV protein) is manipulating the ubquitination machinery and adversely effecting host transcriptional regulationThis pathways was adapted from figure 3 in [https://www.ncbi.nlm.nih.gov/pubmed/23352243 Fraser et al]. Viral proteins are highlighted in yellow.	ELOC,E2,RBX1,CUL5,UBB,Vif,ELOB,A3G,CBFB,RUNX1
IL-4 Signaling Pathway	IL-4 is a glycoprotein which is composed of 129 amino acids and has a molecular weight of 20kDa. IL-4 and IL-13 are produced by CD4+ cells and exhibit significant functional overlap. Both these cytokines play a critical role in the promotion of allergic responses. IL-4 is primarily involved in promoting the differentiation and proliferation of T helper 2 (TH2) cells and the synthesis of immunoglobulin E (IgE). Apart from its role in allergic responses including asthma, IL-4 was also found to regulate retinal progenitor proliferation, rod photoreceptor differentiation, cholinergic and GABAergic amacrine differentiation and neuroprotection and survival. IL-4 was also found to have regulatory effects in a number of neurological diseases including Alzheimer's disease, Multiple sclerosis, Experimental autoimmune encephelitis. It was also found to relieve inflammatory and neuropathic pain. IL-4 is capable of exerting its biological activities through interaction with two cell surface receptor complexes - Type I IL4 receptor and Type II IL4 Receptor. Both these receptor complexes comprise of a common IL4RÎ± (CD124) subunit, which is also the functional receptor chain. Type I IL-4 receptor is formed by the interaction of IL4RÎ± subunit with IL-2Î³c (CD132). Type II IL-4 receptor is formed by the interaction of IL-4RÎ± subunit with IL-13RÎ±. Interaction of IL-4 with its receptor results in receptor dimerization and activation. The Type I receptors activates JAK1 and 3, which are associated with the receptor subunits. The activated JAK phosphorylates tyrosine residues the cytoplasmic tails of the receptor which then serves as docking sites for a number of adaptor or signaling molecules including STAT6. Activated STAT6 dimerizes, translocated to the nucleus and transcriptionally actives genes responsive to IL-4. Many of the key functions of IL4 allergic disorders, including TH2 cell differentiation, airway hyper responsiveness, mucus cell metaplasia and IgE synthesis are dependent on STAT6 activation. Other phosphorylated tyrosine residue bind to proteins with phospho-tyrosine binding (PTB) motifs including IRS proteins. This results in the phosphorylation of the IRS proteins, which can then potentially activate the PI3K/AKT cascade by binding to the p85 subunit of PI3K or the Ras/Raf/MEK/ERK cascade. The PI3K/AKT pathway is thought to mediate the growth and survival signals in multiple IL-4 responsive cell types including T- and B- lymphocytes and natural killer cellsPlease access this pathway at [http://www.netpath.org/netslim/IL_4_pathway.html NetSlim] database.If you use this pathway, please cite the following paper:Kandasamy, K., Mohan, S. S., Raju, R., Keerthikumar, S., Kumar, G. S. S., Venugopal, A. K., Telikicherla, D., Navarro, J. D., Mathivanan, S., Pecquet, C., Gollapudi, S. K., Tattikota, S. G., Mohan, S., Padhukasahasram, H., Subbannayya, Y., Goel, R., Jacob, H. K. C., Zhong, J., Sekhar, R., Nanjappa, V., Balakrishnan, L., Subbaiah, R., Ramachandra, Y. L., Rahiman, B. A., Prasad, T. S. K., Lin, J., Houtman, J. C. D., Desiderio, S., Renauld, J., Constantinescu, S. N., Ohara, O., Hirano, T., Kubo, M., Singh, S., Khatri, P., Draghici, S., Bader, G. D., Sander, C., Leonard, W. J. and Pandey, A. (2010). NetPath: A public resource of curated signal transduction pathways. &lt;i&gt;Genome Biology&lt;/i&gt;. 11:R3.	RPS6KB1
Neuroinflammation	Neuroinflammation is inflammation specific to parts of the central nervous system. It can be triggered by external or internal factors, such as UV damage, inflammatory cytokines and oxidative stress. Stress on the cell leads to activation of inflammatory response pathways that involve several transcription factors such as AP-1 and NFkB, which will lead to the transcription of several proteins and/or cytokines.	TNF-α,JNK,IκBα,FOS,PI3K,COX1,JUN,TLR4,MAPK14,COX2,p50,p65,MTOR,IKKα,iNOS,IL-1B,Nitrate reductase,AKT
Senescence and Autophagy in Cancer	Senescense and Autophagy Pathways in Cancer.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP615 CPTAC Assay Portal]	SLC39A2,ATG10,ATG6,PLAT,GSK3B,COL3A1,GABARAP,CXCL1,CXCL20,?,C/EBP-beta,NFKB,ISRE,PLAU,CDKN1B,SLC39A4,MLL,IRF5,LAMP1,GAD45A,SLC39A3,ATG5,IL6ST,KIAA0652,ATG4,INHBA,COL10A1,ULK1,IGFBP7,THBS1,IGFBP5,IFNB1,CD44,FRAP1,INS,IGF1R,CDK6,RAF1,MAP1LC3C,ATG3,IL3,SH3GLB1,TP53,CDKN2A,HRAS,MAPK1,FKBP8,MDM2,BMI1,BECN1,RSL1D1,ATG12,FN1,BMP2,MAP2K1,IL1B,IL8,GeneProduct,GSN,CDC25B,IL6,CXCR2,BCL2,CREG1,PI3K?,ATG11,SLC39A1,RNASEL,MMP-3,GABARAPL1,GABARAPL2,MAP1LC3A,SERPINB2,E2F1,IRF7,PIK3C3,ATG16,IL1A,IFI16,bcl-xL,ATG16L1,ATG7,MAP2K6,RB1,ATG17,PCNA,AKT1S1,LAMP2,UVRAG,PTEN,IRF1,SPARC,CDK4,IGF1,SQSTM1,BRAF,TNFSF15,MAP1LC3B,CXCL14,ATG14,IFNG,CDK2,CDKN1A,HMGA1,GBL,MMP14,IL24,CCL3,MAPK14,IGFBP3,SMAD3,GAS,MAP2K3,JUN,ING1,AMBRA1,TGFB1,SMAD4,SRC,pkb?,COL1A1,VTN,IL6R,ING2,SERPINE1,RB1CC1
